GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,670 [<500‰ÛÒ830],670,500,830,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,BIH,Bosnia and Herzegovina,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BWA,Botswana,,15 000 [13 000‰ÛÒ18 000],15000,13000,18000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BRA,Brazil,,15 000 [11 000‰ÛÒ20 000],15000,11000,20000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,BRN,Brunei Darussalam,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,BGR,Bulgaria,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BFA,Burkina Faso,,12 000 [9300‰ÛÒ15 000],12000,9300,15000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BDI,Burundi,,11 000 [7800‰ÛÒ13 000],11000,7800,13000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,KHM,Cambodia,,4500 [3200‰ÛÒ5800],4500,3200,5800,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CMR,Cameroon,,19 000 [15 000‰ÛÒ24 000],19000,15000,24000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,CAN,Canada,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CPV,Cabo Verde,,<200 [<100‰ÛÒ<200],200,100,200,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CAF,Central African Republic,,11 000 [8400‰ÛÒ14 000],11000,8400,14000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,TCD,Chad,,5600 [3800‰ÛÒ7700],5600,3800,7700,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,CHL,Chile,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,CHN,China,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,COL,Colombia,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,COM,Comoros,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,COG,Congo,,6100 [4700‰ÛÒ7800],6100,4700,7800,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,CRI,Costa Rica,,<500 [<500‰ÛÒ<500],500,500,500,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CIV,CÌ«te d'Ivoire,,44 000 [32 000‰ÛÒ63 000],44000,32000,63000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,HRV,Croatia,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,CUB,Cuba,,<200 [<200‰ÛÒ<500],200,200,500,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,CYP,Cyprus,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,CZE,Czechia,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,PRK,Democratic People's Republic of Korea,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,COD,Democratic Republic of the Congo,,43 000 [35 000‰ÛÒ49 000],43000,35000,49000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,DNK,Denmark,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,DJI,Djibouti,,<500 [<500‰ÛÒ690],500,500,690,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,DOM,Dominican Republic,,4800 [3100‰ÛÒ7100],4800,3100,7100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,ECU,Ecuador,,1500 [620‰ÛÒ2600],1500,620,2600,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,EGY,Egypt,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,SLV,El Salvador,,810 [580‰ÛÒ1000],810,580,1000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,GNQ,Equatorial Guinea,,680 [<500‰ÛÒ1000],680,500,1000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,ERI,Eritrea,,1100 [690‰ÛÒ1500],1100,690,1500,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,EST,Estonia,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,SWZ,Eswatini,,5000 [4000‰ÛÒ6100],5000,4000,6100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,ETH,Ethiopia,,58 000 [35 000‰ÛÒ100 000],58000,35000,100000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,FJI,Fiji,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FIN,Finland,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,France,,880 [720‰ÛÒ1000],880,720,1000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,GAB,Gabon,,1600 [1100‰ÛÒ2300],1600,1100,2300,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,GMB,Gambia,,<500 [<500‰ÛÒ620],500,500,620,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,GEO,Georgia,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,DEU,Germany,,880 [690‰ÛÒ1100],880,690,1100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,GHA,Ghana,,18 000 [15 000‰ÛÒ22 000],18000,15000,22000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,GRC,Greece,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,GTM,Guatemala,,2400 [2000‰ÛÒ2700],2400,2000,2700,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,GIN,Guinea,,5000 [3400‰ÛÒ7000],5000,3400,7000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,GNB,Guinea-Bissau,,1100 [850‰ÛÒ1400],1100,850,1400,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,GUY,Guyana,,<100 [<100‰ÛÒ<200],100,100,200,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,HTI,Haiti,,12 000 [9400‰ÛÒ15 000],12000,9400,15000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,HND,Honduras,,3200 [2300‰ÛÒ4000],3200,2300,4000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,HUN,Hungary,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ISL,Iceland,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,India,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IDN,Indonesia,,1900 [1200‰ÛÒ2500],1900,1200,2500,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,IRN,Iran (Islamic Republic of),,<500 [<500‰ÛÒ1400],500,500,1400,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,IRL,Ireland,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ISR,Israel,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ITA,Italy,,1200 [1000‰ÛÒ1500],1200,1000,1500,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,JAM,Jamaica,,2400 [1900‰ÛÒ3100],2400,1900,3100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,JPN,Japan,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,JOR,Jordan,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,KAZ,Kazakhstan,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,KEN,Kenya,,120 000 [88 000‰ÛÒ190 000],120000,88000,190000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,KWT,Kuwait,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,KGZ,Kyrgyzstan,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,LAO,Lao People's Democratic Republic,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,LVA,Latvia,,<100 [<100‰ÛÒ<200],100,100,200,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,LBN,Lebanon,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,LSO,Lesotho,,12 000 [9000‰ÛÒ16 000],12000,9000,16000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,LBR,Liberia,,3000 [2600‰ÛÒ3400],3000,2600,3400,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,LBY,Libya,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,LTU,Lithuania,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,LUX,Luxembourg,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,MDG,Madagascar,,<500 [<200‰ÛÒ930],500,200,930,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,MWI,Malawi,,57 000 [49 000‰ÛÒ65 000],57000,49000,65000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,MYS,Malaysia,,2700 [2200‰ÛÒ3200],2700,2200,3200,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,MDV,Maldives,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,MLI,Mali,,7700 [5600‰ÛÒ9800],7700,5600,9800,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,MLT,Malta,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,MRT,Mauritania,,<500 [<200‰ÛÒ<500],500,200,500,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,MUS,Mauritius,,<100 [<100‰ÛÒ<200],100,100,200,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AMR,Americas,,MEX,Mexico,,No data,,,,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,MNG,Mongolia,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EUR,Europe,,MNE,Montenegro,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,MAR,Morocco,,<500 [<500‰ÛÒ680],500,500,680,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,MOZ,Mozambique,,40 000 [29 000‰ÛÒ54 000],40000,29000,54000,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,MMR,Myanmar,,5800 [4600‰ÛÒ6800],5800,4600,6800,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,AFR,Africa,,NAM,Namibia,,7300 [5700‰ÛÒ9100],7300,5700,9100,,,
HIV_0000000006,Number of deaths due to HIV/AIDS,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/2922,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,NPL,Nepal,,<500 [<500‰ÛÒ500],500,500,500,,,
